web-scraper-order,web-scraper-start-url,pages-link,pages-link-href,superficie,prix,adresse,Image_lien-src
"1716428347-381","https://sn.coinafrique.com/categorie/terrains?page=6","Terrain 300m² - Mbour","https://sn.coinafrique.com/annonce/terrains/terrain-300m-mbour-4665016","Superficie300","5 000 000 CFA","Mbour, Sénégal",""
"1716428348-2691","https://sn.coinafrique.com/categorie/terrains?page=6","Terrain   -Diass","https://sn.coinafrique.com/annonce/terrains/terrain-diass-4671165","Superficie300 m2","1 900 000 CFA","Ndiass, Sénégal","https://images.coinafrique.com/thumb_4753651_uploaded_image1_1716237632.jpg"
"1716428348-2692","https://sn.coinafrique.com/categorie/terrains?page=6","Terrain   -Diass","https://sn.coinafrique.com/annonce/terrains/terrain-diass-4671165","Superficie300 m2","1 900 000 CFA","Ndiass, Sénégal","https://images.coinafrique.com/thumb_4703407_uploaded_image1_1713706623.jpg"
"1716428348-2693","https://sn.coinafrique.com/categorie/terrains?page=6","Terrain   -Diass","https://sn.coinafrique.com/annonce/terrains/terrain-diass-4671165","Superficie300 m2","1 900 000 CFA","Ndiass, Sénégal","https://images.coinafrique.com/thumb_4748951_uploaded_image1_1715957715.jpg"
"1716428348-2694","https://sn.coinafrique.com/categorie/terrains?page=6","Terrain   -Diass","https://sn.coinafrique.com/annonce/terrains/terrain-diass-4671165","Superficie300 m2","1 900 000 CFA","Ndiass, Sénégal","https://images.coinafrique.com/thumb_4740978_uploaded_image1_1715600901.jpg"
"1716428348-2695","https://sn.coinafrique.com/categorie/terrains?page=6","Terrain   -Diass","https://sn.coinafrique.com/annonce/terrains/terrain-diass-4671165","Superficie300 m2","1 900 000 CFA","Ndiass, Sénégal","https://images.coinafrique.com/thumb_4729688_uploaded_image1_1715034404.jpg"
"1716428348-2696","https://sn.coinafrique.com/categorie/terrains?page=6","Terrain   -Diass","https://sn.coinafrique.com/annonce/terrains/terrain-diass-4671165","Superficie300 m2","1 900 000 CFA","Ndiass, Sénégal","https://images.coinafrique.com/thumb_4724025_uploaded_image1_1714749096.jpg"
"1716428348-2697","https://sn.coinafrique.com/categorie/terrains?page=6","Terrain   -Diass","https://sn.coinafrique.com/annonce/terrains/terrain-diass-4671165","Superficie300 m2","1 900 000 CFA","Ndiass, Sénégal","https://images.coinafrique.com/thumb_4719361_uploaded_image2_1714558015.jpeg"
"1716428348-2698","https://sn.coinafrique.com/categorie/terrains?page=6","Terrain   -Diass","https://sn.coinafrique.com/annonce/terrains/terrain-diass-4671165","Superficie300 m2","1 900 000 CFA","Ndiass, Sénégal","https://images.coinafrique.com/thumb_4715307_uploaded_image1_1714329596.jpg"
"1716428348-2699","https://sn.coinafrique.com/categorie/terrains?page=6","Terrain   -Diass","https://sn.coinafrique.com/annonce/terrains/terrain-diass-4671165","Superficie300 m2","1 900 000 CFA","Ndiass, Sénégal","https://images.coinafrique.com/thumb_4710647_uploaded_image2_1714048951.jpeg"
